Designator,Mid X,Mid Y,Rotation,Layer
C1,147.8,-71.8,180.0,bottom
C2,181.47,-91.57,0.0,bottom
C3,181.09,-80.8,180.0,bottom
C4,158.1,-71.7,180.0,bottom
J3,138.54,-98.4043,0.0,top
Q1,139.55,-72.4125,90.0,bottom
Q2,114.25,-91.2125,270.0,bottom
Q3,129.6625,-90.95,270.0,bottom
R1,133.42,-65.51,270.0,bottom
R2,128.29,-65.44,270.0,bottom
R3,125.78,-65.4,270.0,bottom
R4,187.1,-71.1,180.0,bottom
R5,181.07,-84.96,180.0,bottom
R6,181.08,-82.92,180.0,bottom
R7,181.11,-87.18,0.0,bottom
R8,134.8,-92.35,0.0,bottom
R9,171.3,-78.75,90.0,bottom
SDCARD1,196.5,-73.25,-90.0,bottom
U2,149.5,-75.75,270.0,bottom
U3,160.1,-87.2125,0.0,bottom
U4,140.8,-87.3625,0.0,bottom
U5,122.45,-87.1625,0.0,bottom
U6,127.115,-74.2,0.0,bottom
U7,159.7,-75.8,270.0,bottom
